lat->temp;60;59;58;57;56;55;54;53;52;51;50;49;48;47;46;45
30;21,3;20,58;19,2;18,7;18,32;19,76;19,11;19,6;21,28;23,4;24,09;23,18;23,49;24,56;24,08;21,16
31;21,4;19,65;18,73;18,95;18,38;19,4;19,46;22,37;22,9;22,44;25,32;24,34;24,49;24,7;21,8;20,81
32;20,23;19,39;19,08;18,18;18,71;18,03;18,81;19,66;21,67;23,0;24,55;25,08;24,06;25,5;20,56;20,46
33;20,08;19,43;19,83;18,63;18,18;18,3;18,96;19,5;21,48;23,58;25,25;24,89;25,9;26,33;20,8;21,01
34;19,89;19,04;19,61;18,16;17,99;18,27;19,21;21,97;21,68;23,79;25,63;26,08;26,01;26,55;24,85;26,55
35;19,17;19,25;18,98;18,61;18,15;19,08;20,07;21,71;22,22;24,35;25,79;27,16;27,87;26,98;21,21;24,95
36;19,23;19,23;18,88;18,77;18,8;21,25;21,2;21,14;23,76;24,32;25,99;27,13;27,7;26,13;20,51;22,56
37;19,07;20,17;18,53;19,22;20,61;20,98;20,15;21,2;24,1;24,07;25,96;26,72;27,39;22,43;20,8;24,42
38;18,34;18,94;18,83;19,54;21,0;21,37;20,98;21,63;22,76;23,84;25,93;26,63;26,1;20,05;25,66;29,26
39;18,58;19,35;19,59;19,79;20,35;20,83;20,85;23,34;23,83;24,21;25,65;26,73;26,7;24,94;28,29;29,66
40;18,13;18,88;20,85;21,11;20,58;21,13;21,72;23,52;23,95;25,0;24,74;25,61;25,93;26,59;27,43;27,75
41;17,74;18,7;21,1;19,36;20,18;20,73;21,29;21,48;22,58;23,64;25,14;25,65;25,65;26,56;26,81;26,69
42;16,68;17,71;18,45;18,52;19,37;19,74;20,96;21,04;22,0;24,34;25,33;25,45;25,43;25,97;25,44;23,99
43;17,16;17,62;18,47;17,61;21,02;19,44;20,03;20,47;22,14;23,98;24,6;24,45;22,22;25,89;25,52;22,07
44;16,14;16,93;18,2;17,87;19,01;18,62;19,84;20,0;21,13;22,61;23,64;24,23;25,62;25,12;25,03;23,62
45;15,93;16,48;17,56;18,04;17,47;18,54;19,04;19,47;19,92;21,0;22,33;22,9;26,42;25,95;24,35;24,86
