lat->temp;60;59;58;57;56;55;54;53;52;51;50;49;48;47;46;45
30;16,83;17,88;18,59;18,49;18,02;18,23;18,95;19,06;20,5;21,46;19,91;19,18;23,35;22,48;23,61;20,19
31;17,35;18,09;18,93;20,3;18,43;17,3;18,98;19,13;20,42;21,69;20,64;17,24;22,65;25,66;20,59;21,39
32;17,63;18,49;19,48;17,87;18,22;17,64;18,86;19,42;21,12;21,81;22,85;20,58;22,32;23,06;22,09;22,09
33;17,53;18,02;18,52;17,32;17,83;15,95;17,57;19,15;20,19;21,78;22,86;22,29;20,09;25,56;22,19;22,59
34;17,38;16,88;17,36;16,95;16,89;14,46;18,22;17,66;19,49;21,74;22,64;23,23;22,29;24,46;26,69;29,14
35;16,36;16,79;16,93;17,22;17,65;17,89;18,22;16,14;19,57;20,95;21,99;23,31;23,53;22,67;20,29;24,84
36;16,02;16,58;16,72;17,62;18,11;18,4;17,69;18,14;18,29;19,88;21,96;23,78;23,54;22,95;19,79;22,74
37;16,42;16,57;16,27;17,67;17,52;18,49;17,25;17,64;18,49;19,07;21,69;23,47;23,94;22,18;20,39;22,79
38;15,38;14,66;16,56;17,89;17,82;17,82;17,52;17,92;18,86;19,94;22,28;22,28;23,05;19,4;25,6;30,68
39;15,38;16,0;16,33;17,43;18,14;18,08;17,29;18,18;19,29;20,86;22,4;22,48;24,09;24,18;27,54;28,34
40;15,73;16,23;15,87;17,1;18,42;18,32;18,26;18,74;19,42;21,5;22,18;21,96;23,08;26,04;26,84;29,32
41;15,93;15,84;16,89;16,9;18,27;17,67;17,79;18,12;19,08;20,09;22,05;22,84;23,9;26,0;26,76;26,19
42;14,88;15,86;16,34;16,11;17,67;17,28;17,75;17,84;18,75;20,64;21,12;22,09;23,27;24,31;26,1;22,77
43;14,81;15,72;16,71;14,85;17,23;16,74;17,12;17,32;18,64;19,81;20,9;21,25;21,22;23,73;25,52;23,16
44;14,44;15,32;16,69;16,81;15,63;16,55;17,23;16,95;17,87;19,6;19,84;21,81;21,81;22,27;24,14;24,26
45;15,57;15,32;15,81;16,73;16,33;15,83;16,39;16,91;17,66;18,53;19,97;19,67;21,77;22,39;20,85;24,1
