lat->temp;60;59;58;57;56;55;54;53;52;51;50;49;48;47;46;45
30;18,37;18,63;18,83;18,23;17,96;18,28;18,3;20,0;21,94;23,2;24,25;24,93;24,59;22,92;21,75;21,93
31;18,29;18,03;18,47;18,54;17,78;17,14;18,12;19,88;21,56;22,64;24,28;25,88;26,7;23,6;21,33;21,63
32;17,87;18,03;18,12;16,81;17,36;17,58;17,81;18,97;21,56;23,25;25,09;25,72;25,97;26,5;21,53;21,53
33;17,07;17,16;17,47;16,16;16,77;17,3;17,71;18,2;20,33;22,92;25,1;25,43;26,63;26,2;22,33;22,43
34;16,22;16,02;16,2;15,79;15,93;16,6;17,36;18,5;20,03;22,18;23,78;25,37;26,03;24,6;21,73;23,88
35;15,1;15,73;15,67;16,06;15,9;16,33;16,67;17,79;19,71;22,4;23,73;25,26;25,67;24,11;20,83;20,98
36;14,96;15,43;15,26;15,76;15,15;15,65;16,24;18,08;18,93;20,92;24,3;24,62;24,58;24,6;21,63;22,59
37;14,36;14,61;15,01;15,12;14,76;15,13;15,69;17,88;19,04;20,31;23,23;23,92;24,88;24,32;23,03;23,13
38;14,13;15,0;14,61;14,83;14,46;14,77;16,36;17,96;19,6;20,68;23,52;24,53;25,5;22,64;25,54;25,52
39;14,02;13,45;13,67;13,78;14,18;14,92;15,83;17,73;19,83;20,61;23,04;24,02;24,73;24,72;24,78;27,38
40;13,47;12,87;12,91;13,05;14,06;14,56;16,3;17,69;19,46;20,25;20,93;22,91;23,22;23,78;23,98;24,86
41;13,07;12,48;12,84;12,95;13,72;14,12;15,63;17,36;19,22;19,43;20,19;22,48;23,54;21,64;22,11;22,63
42;12,42;12,0;11,59;12,35;13,31;13,62;15,39;17,78;18,59;20,58;20,76;21,83;22,21;20,45;20,04;20,01
43;12,75;12,16;12,25;12,7;13,17;13,48;15,46;16,46;17,89;19,35;19,44;19,79;20,87;21,97;19,36;18,9
44;11,88;11,97;12,03;11,95;12,38;12,99;14,57;15,89;16,51;18,45;18,48;19,75;19,26;20,21;19,28;20,01
45;11,71;11,57;11,45;11,77;12,67;13,07;14,33;14,75;15,9;17,17;18,11;18,52;19,21;19,83;18,79;19,74
